partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PB304-CX150T11GAS1/2,"1/2""",150,304,11 Gauge,0.1196,5.5,0.21,0.29,36,40
PBSA36-CX150T11GAS1/2,"1/2""",150,SA-36,11 Gauge,0.1196,1.85,0.2,0.28,35,39
PBSA516-70-CX150T11GAS1/2,"1/2""",150,SA-516-70,11 Gauge,0.1196,2.15,0.2,0.28,35,39
PB304L-CX150T11GAS1/2,"1/2""",150,304L,11 Gauge,0.1196,5.95,0.21,0.29,37,41
PB316L-CX150T11GAS1/2,"1/2""",150,316L,11 Gauge,0.1196,7.4,0.21,0.29,37,41
PBAL6061-CX150T11GAS1/2,"1/2""",150,AL-6061,11 Gauge,0.1196,5,0.1,0.15,35,39
PB304-CX150T1/8S1/2,"1/2""",150,304,"1/8""",0.125,5.5,0.22,0.31,37,41
PBSA36-CX150T1/8S1/2,"1/2""",150,SA-36,"1/8""",0.125,1.85,0.21,0.29,35,39
PBSA516-70-CX150T1/8S1/2,"1/2""",150,SA-516-70,"1/8""",0.125,2.15,0.21,0.29,35,39
PB304L-CX150T1/8S1/2,"1/2""",150,304L,"1/8""",0.125,5.95,0.22,0.31,37,41
PB316L-CX150T1/8S1/2,"1/2""",150,316L,"1/8""",0.125,7.4,0.22,0.31,37,41
PBAL6061-CX150T1/8S1/2,"1/2""",150,AL-6061,"1/8""",0.125,5,0.1,0.15,35,39
PB304-CX150T3/16S1/2,"1/2""",150,304,"3/16""",0.1875,5.5,0.33,0.46,37,41
PBSA36-CX150T3/16S1/2,"1/2""",150,SA-36,"3/16""",0.1875,1.85,0.31,0.43,36,40
PBSA516-70-CX150T3/16S1/2,"1/2""",150,SA-516-70,"3/16""",0.1875,2.15,0.31,0.43,36,40
PB304L-CX150T3/16S1/2,"1/2""",150,304L,"3/16""",0.1875,5.95,0.33,0.46,38,42
PB316L-CX150T3/16S1/2,"1/2""",150,316L,"3/16""",0.1875,7.4,0.33,0.46,38,42
PBAL6061-CX150T3/16S1/2,"1/2""",150,AL-6061,"3/16""",0.1875,5,0.11,0.15,36,40
PB304-CX150T1/4S1/2,"1/2""",150,304,"1/4""",0.25,5.5,0.44,0.62,38,42
PBSA36-CX150T1/4S1/2,"1/2""",150,SA-36,"1/4""",0.25,1.85,0.42,0.59,36,40
PBSA516-70-CX150T1/4S1/2,"1/2""",150,SA-516-70,"1/4""",0.25,2.15,0.42,0.59,36,40
PB304L-CX150T1/4S1/2,"1/2""",150,304L,"1/4""",0.25,5.95,0.44,0.62,39,43
PB316L-CX150T1/4S1/2,"1/2""",150,316L,"1/4""",0.25,7.4,0.44,0.62,39,43
PBAL6061-CX150T1/4S1/2,"1/2""",150,AL-6061,"1/4""",0.25,5,0.15,0.21,36,40
PB304-CX150T5/16S1/2,"1/2""",150,304,"5/16""",0.3125,5.5,0.55,0.77,39,43
PBSA36-CX150T5/16S1/2,"1/2""",150,SA-36,"5/16""",0.3125,1.85,0.52,0.73,36,40
PBSA516-70-CX150T5/16S1/2,"1/2""",150,SA-516-70,"5/16""",0.3125,2.15,0.52,0.73,36,40
PB304L-CX150T5/16S1/2,"1/2""",150,304L,"5/16""",0.3125,5.95,0.55,0.77,39,43
PB316L-CX150T5/16S1/2,"1/2""",150,316L,"5/16""",0.3125,7.4,0.55,0.77,41,46
PBAL6061-CX150T5/16S1/2,"1/2""",150,AL-6061,"5/16""",0.3125,5,0.18,0.25,36,40
PB304-CX150T3/8S1/2,"1/2""",150,304,"3/8""",0.375,5.5,0.66,0.92,40,44
PBSA36-CX150T3/8S1/2,"1/2""",150,SA-36,"3/8""",0.375,1.85,0.63,0.88,36,40
PBSA516-70-CX150T3/8S1/2,"1/2""",150,SA-516-70,"3/8""",0.375,2.15,0.63,0.88,37,41
PB304L-CX150T3/8S1/2,"1/2""",150,304L,"3/8""",0.375,5.95,0.66,0.92,40,44
PB316L-CX150T3/8S1/2,"1/2""",150,316L,"3/8""",0.375,7.4,0.67,0.94,42,47
PBAL6061-CX150T3/8S1/2,"1/2""",150,AL-6061,"3/8""",0.375,5,0.22,0.31,36,40
PB304-CX150T1/2S1/2,"1/2""",150,304,"1/2""",0.5,5.5,0.88,1.23,42,47
PBSA36-CX150T1/2S1/2,"1/2""",150,SA-36,"1/2""",0.5,1.85,0.84,1.18,37,41
PBSA516-70-CX150T1/2S1/2,"1/2""",150,SA-516-70,"1/2""",0.5,2.15,0.84,1.18,37,41
PB304L-CX150T1/2S1/2,"1/2""",150,304L,"1/2""",0.5,5.95,0.88,1.23,42,47
PB316L-CX150T1/2S1/2,"1/2""",150,316L,"1/2""",0.5,7.4,0.89,1.25,44,49
PBAL6061-CX150T1/2S1/2,"1/2""",150,AL-6061,"1/2""",0.5,5,0.3,0.42,37,41
PB304-CX150T5/8S1/2,"1/2""",150,304,"5/8""",0.625,5.5,1.1,1.54,43,48
PBSA36-CX150T5/8S1/2,"1/2""",150,SA-36,"5/8""",0.625,1.85,1.05,1.47,38,42
PBSA516-70-CX150T5/8S1/2,"1/2""",150,SA-516-70,"5/8""",0.625,2.15,1.05,1.47,38,42
PB304L-CX150T5/8S1/2,"1/2""",150,304L,"5/8""",0.625,5.95,1.1,1.54,44,49
PB316L-CX150T5/8S1/2,"1/2""",150,316L,"5/8""",0.625,7.4,1.11,1.55,46,51
PBAL6061-CX150T5/8S1/2,"1/2""",150,AL-6061,"5/8""",0.625,5,0.37,0.52,37,41
PB304-CX150T3/4S1/2,"1/2""",150,304,"3/4""",0.75,5.5,1.32,1.85,45,50
PBSA36-CX150T3/4S1/2,"1/2""",150,SA-36,"3/4""",0.75,1.85,1.26,1.76,38,42
PBSA516-70-CX150T3/4S1/2,"1/2""",150,SA-516-70,"3/4""",0.75,2.15,1.26,1.76,39,43
PB304L-CX150T3/4S1/2,"1/2""",150,304L,"3/4""",0.75,5.95,1.32,1.85,46,51
PB316L-CX150T3/4S1/2,"1/2""",150,316L,"3/4""",0.75,7.4,1.33,1.86,49,54
PBAL6061-CX150T3/4S1/2,"1/2""",150,AL-6061,"3/4""",0.75,5,0.44,0.62,38,42
PB304-CX150T7/8S1/2,"1/2""",150,304,"7/8""",0.875,5.5,1.53,2.14,47,52
PBSA36-CX150T7/8S1/2,"1/2""",150,SA-36,"7/8""",0.875,1.85,1.47,2.06,39,43
PBSA516-70-CX150T7/8S1/2,"1/2""",150,SA-516-70,"7/8""",0.875,2.15,1.47,2.06,39,43
PB304L-CX150T7/8S1/2,"1/2""",150,304L,"7/8""",0.875,5.95,1.53,2.14,48,53
PB316L-CX150T7/8S1/2,"1/2""",150,316L,"7/8""",0.875,7.4,1.55,2.17,51,57
PBAL6061-CX150T7/8S1/2,"1/2""",150,AL-6061,"7/8""",0.875,5,0.52,0.73,38,42
PB304-CX150T1S1/2,"1/2""",150,304,"1""",1,5.5,1.75,2.45,48,53
PBSA36-CX150T1S1/2,"1/2""",150,SA-36,"1""",1,1.85,1.68,2.35,39,43
PBSA516-70-CX150T1S1/2,"1/2""",150,SA-516-70,"1""",1,2.15,1.68,2.35,40,44
PB304L-CX150T1S1/2,"1/2""",150,304L,"1""",1,5.95,1.75,2.45,49,54
PB316L-CX150T1S1/2,"1/2""",150,316L,"1""",1,7.4,1.77,2.48,53,59
PBAL6061-CX150T1S1/2,"1/2""",150,AL-6061,"1""",1,5,0.59,0.83,39,43
PB304-CX150T1-1/8S1/2,"1/2""",150,304,"1-1/8""",1.125,5.5,1.97,2.76,50,56
PBSA36-CX150T1-1/8S1/2,"1/2""",150,SA-36,"1-1/8""",1.125,1.85,1.89,2.65,40,44
PBSA516-70-CX150T1-1/8S1/2,"1/2""",150,SA-516-70,"1-1/8""",1.125,2.15,1.89,2.65,41,46
PB304L-CX150T1-1/8S1/2,"1/2""",150,304L,"1-1/8""",1.125,5.95,1.97,2.76,51,57
PB316L-CX150T1-1/8S1/2,"1/2""",150,316L,"1-1/8""",1.125,7.4,2,2.8,56,62
PBAL6061-CX150T1-1/8S1/2,"1/2""",150,AL-6061,"1-1/8""",1.125,5,0.67,0.94,40,44
