partNumber,nps,pressureClass,material,thicknessLabel,wholesaleBefore,wholesaleAfter,wholesaleDelta,listBefore,listAfter,listDelta
PBAL6061-CX150T7/8S1/2,"1/2""",150,AL-6061,"7/8""",38,39,1,42,43,1
PB304L-CX150T1S1/2,"1/2""",150,304L,"1""",49,50,1,54,56,2
PB304-CX150T1-3/8S1/2,"1/2""",150,304,"1-3/8""",53,54,1,59,60,1
PBAL6061-CX150T1-3/8S1/2,"1/2""",150,AL-6061,"1-3/8""",40,41,1,44,46,2
PBSA516-70-CX150T1-1/2S1/2,"1/2""",150,SA-516-70,"1-1/2""",42,43,1,47,48,1
PB316L-CX150T1-1/2S1/2,"1/2""",150,316L,"1-1/2""",62,63,1,69,70,1
PB304-CX150T1-3/4S1/2,"1/2""",150,304,"1-3/4""",58,59,1,64,65,1
PBSA36-CX150T1-3/4S1/2,"1/2""",150,SA-36,"1-3/4""",42,43,1,47,48,1
PB304L-CX150T1-3/4S1/2,"1/2""",150,304L,"1-3/4""",60,61,1,66,68,2
PB304L-CX150T1-7/8S1/2,"1/2""",150,304L,"1-7/8""",62,63,1,69,70,1
PB316L-CX150T1-7/8S1/2,"1/2""",150,316L,"1-7/8""",69,70,1,76,77,1
PB304-CX150T2-1/4S1/2,"1/2""",150,304,"2-1/4""",65,66,1,72,73,1
PB316L-CX150T2-1/4S1/2,"1/2""",150,316L,"2-1/4""",76,77,1,84,85,1
PBSA516-70-CX150T2-1/2S1/2,"1/2""",150,SA-516-70,"2-1/2""",47,48,1,52,53,1
PB304L-CX150T2-1/2S1/2,"1/2""",150,304L,"2-1/2""",71,72,1,79,80,1
PB304-CX150T3S1/2,"1/2""",150,304,"3""",75,76,1,83,84,1
PB316L-CX150T3S1/2,"1/2""",150,316L,"3""",90,91,1,100,101,1
PBSA36-CX150T1/8S3/4,"3/4""",150,SA-36,"1/8""",35,36,1,39,40,1
PBAL6061-CX150T1/8S3/4,"3/4""",150,AL-6061,"1/8""",35,36,1,39,40,1
PB304L-CX150T1-1/8S3/4,"3/4""",150,304L,"1-1/8""",54,55,1,60,61,1
PB316L-CX150T1-1/8S3/4,"3/4""",150,316L,"1-1/8""",59,60,1,65,66,1
PBAL6061-CX150T1-1/8S3/4,"3/4""",150,AL-6061,"1-1/8""",40,41,1,44,46,2
PB316L-CX150T1-1/4S3/4,"3/4""",150,316L,"1-1/4""",62,63,1,69,70,1
PB316L-CX150T1-5/8S3/4,"3/4""",150,316L,"1-5/8""",70,71,1,77,79,2
PBSA516-70-CX150T1-3/4S3/4,"3/4""",150,SA-516-70,"1-3/4""",45,46,1,50,51,1
PB304L-CX150T1-3/4S3/4,"3/4""",150,304L,"1-3/4""",65,66,1,72,73,1
PB316L-CX150T1-3/4S3/4,"3/4""",150,316L,"1-3/4""",73,74,1,81,82,1
PBAL6061-CX150T1-3/4S3/4,"3/4""",150,AL-6061,"1-3/4""",43,44,1,48,49,1
PB304L-CX150T1-7/8S3/4,"3/4""",150,304L,"1-7/8""",67,68,1,74,75,1
PBSA516-70-CX150T2-1/4S3/4,"3/4""",150,SA-516-70,"2-1/4""",48,49,1,53,54,1
PB316L-CX150T2-1/4S3/4,"3/4""",150,316L,"2-1/4""",84,85,1,93,94,1
PB304L-CX150T2-1/2S3/4,"3/4""",150,304L,"2-1/2""",78,79,1,86,87,1
PBSA36-CX150T3S3/4,"3/4""",150,SA-36,"3""",50,51,1,56,57,1
PB316L-CX150T3S3/4,"3/4""",150,316L,"3""",100,101,1,111,112,1
PB304-CX150T3/16S1,"1""",150,304,"3/16""",38,39,1,42,43,1
PB304-CX150T1/2S1,"1""",150,304,"1/2""",44,45,1,49,50,1
PBAL6061-CX150T5/8S1,"1""",150,AL-6061,"5/8""",38,39,1,42,43,1
PBSA36-CX150T3/4S1,"1""",150,SA-36,"3/4""",39,40,1,43,44,1
PB316L-CX150T3/4S1,"1""",150,316L,"3/4""",54,55,1,60,61,1
PB304-CX150T1-1/8S1,"1""",150,304,"1-1/8""",56,57,1,62,63,1
